flare_id,goes_class,noaa_active_region,primary_verified,secondary_verified,x_hpc,y_hpc,start_time,end_time,peak_time
9828,C3.3,12277,True,True,231.2405032355,303.6408028361,2015-02-05 09:45:00,2015-02-05 10:04:00,2015-02-05 09:53:00
9829,C1.1,12281,True,True,-759.0294238403,281.2437907639,2015-02-06 03:05:00,2015-02-06 03:24:00,2015-02-06 03:15:00
9830,C1.4,12280,True,True,-200.6911970065,-47.3747969217,2015-02-06 10:02:00,2015-02-06 10:29:00,2015-02-06 10:17:00
9831,C1.5,12277,True,True,591.8595989003,252.7874642252,2015-02-06 22:56:00,2015-02-06 23:14:00,2015-02-06 23:02:00
9832,C1.4,12280,True,True,-33.8531143127,-10.3518420098,2015-02-07 01:05:00,2015-02-07 01:29:00,2015-02-07 01:21:00
9833,C1.8,12277,True,True,741.7857933268,220.3831096408,2015-02-07 10:42:00,2015-02-07 10:57:00,2015-02-07 10:50:00
9835,C1.9,12280,True,True,104.12282495,-27.4870827873,2015-02-07 12:18:00,2015-02-07 12:25:00,2015-02-07 12:22:00
9838,C2.3,12277,True,True,818.7066577102,192.2257152123,2015-02-07 19:28:00,2015-02-07 19:51:00,2015-02-07 19:38:00
9839,C2.6,12277,True,True,795.9671240607,228.6788458651,2015-02-08 05:07:00,2015-02-08 05:23:00,2015-02-08 05:18:00
9841,C1.8,12282,True,True,-931.2150894608,223.3876608137,2015-02-08 08:46:00,2015-02-08 09:25:00,2015-02-08 09:13:00
9842,C1.7,12280,True,True,282.8288767771,-30.6940061111,2015-02-08 10:31:00,2015-02-08 10:39:00,2015-02-08 10:36:00
9844,C1.7,12280,True,True,315.6414766583,-14.6845920203,2015-02-08 14:28:00,2015-02-08 15:25:00,2015-02-08 15:06:00
9845,C3.1,12277,True,False,910.1365986229,138.6593367486,2015-02-08 20:23:00,2015-02-08 21:16:00,2015-02-08 21:04:00
9846,C2.1,12280,True,True,424.8773363937,-19.3990903066,2015-02-09 01:26:00,2015-02-09 02:02:00,2015-02-09 01:48:00
9847,C1.5,12280,False,True,-931.111839599,162.9237442754,2015-02-09 03:11:00,2015-02-09 03:51:00,2015-02-09 03:31:00
9848,C1.7,12282,True,True,-873.5384100336,259.7982445184,2015-02-09 05:21:00,2015-02-09 05:32:00,2015-02-09 05:28:00
9850,C1.7,12281,True,True,-49.8036826372,326.3118133681,2015-02-09 07:04:00,2015-02-09 07:16:00,2015-02-09 07:13:00
9851,C1.4,12282,True,True,-911.6872314508,170.3374636076,2015-02-09 08:22:00,2015-02-09 08:32:00,2015-02-09 08:27:00
9853,C3.1,12280,True,True,526.4470667097,-42.4296938113,2015-02-09 18:22:00,2015-02-09 19:20:00,2015-02-09 19:10:00
9855,C1.8,12280,False,True,526.4300105895,-42.2898734999,2015-02-09 22:36:00,2015-02-09 22:45:00,2015-02-09 22:40:00
9858,C8.3,12280,True,True,646.4545165196,-52.722055988,2015-02-10 01:58:00,2015-02-10 02:07:00,2015-02-10 02:02:00
9859,C1.5,12280,True,True,-738.3565541662,-149.4486664044,2015-02-10 03:11:00,2015-02-10 03:51:00,2015-02-10 03:31:00
9861,C2.7,12282,True,True,-847.0447618912,219.6966216415,2015-02-10 08:29:00,2015-02-10 08:53:00,2015-02-10 08:44:00
9862,C1.5,12277,True,True,962.2109482747,137.8679080405,2015-02-10 13:56:00,2015-02-10 14:19:00,2015-02-10 14:07:00
9863,C1.0,12282,True,True,-650.1369090031,167.7267895913,2015-02-11 01:37:00,2015-02-11 02:20:00,2015-02-11 02:06:00
9864,C1.0,12282,True,True,-624.590600559,170.4080239506,2015-02-11 05:17:00,2015-02-11 05:32:00,2015-02-11 05:21:00
9865,C6.0,12280,True,True,909.6911183626,-62.5664759333,2015-02-12 02:03:00,2015-02-12 02:17:00,2015-02-12 02:12:00
9866,B8.7,12282,True,True,-423.5904877612,235.9097072153,2015-02-12 04:05:00,2015-02-12 04:10:00,2015-02-12 04:08:00
9867,B7.4,12282,True,True,-425.2094096602,284.8479545628,2015-02-12 07:53:00,2015-02-12 08:09:00,2015-02-12 07:56:00
9868,C1.0,12282,True,True,-408.3497096971,237.0512369184,2015-02-12 14:06:00,2015-02-12 14:28:00,2015-02-12 14:18:00
