flare_id,goes_class,noaa_active_region,primary_verified,secondary_verified,x_hpc,y_hpc,start_time,end_time,peak_time
13497,B3.1,12664,True,True,879.8647025446,281.8594301371,2017-07-02 12:23:00,2017-07-02 12:59:00,2017-07-02 12:39:00
13498,B3.5,12664,True,True,942.4207424803,-2.6878056281,2017-07-03 06:17:00,2017-07-03 06:25:00,2017-07-03 06:21:00
13502,B2.4,12664,True,True,897.3805309377,291.1402788467,2017-07-03 08:47:00,2017-07-03 09:08:00,2017-07-03 09:00:00
13503,B2.2,12664,True,True,897.3805592065,291.139113176,2017-07-03 09:43:00,2017-07-03 10:04:00,2017-07-03 09:50:00
13519,B2.4,12665,True,True,-926.3364754103,-91.8605487227,2017-07-05 22:51:00,2017-07-05 22:57:00,2017-07-05 22:55:00
13520,B1.0,12665,True,True,-880.6710505574,-118.4966476774,2017-07-06 14:28:00,2017-07-06 14:34:00,2017-07-06 14:31:00
13521,B1.7,12665,True,True,-891.8555544727,-132.5724351154,2017-07-06 17:26:00,2017-07-06 17:40:00,2017-07-06 17:32:00
13522,B2.6,12665,True,True,-852.034139226,-123.0564725651,2017-07-07 01:22:00,2017-07-07 01:52:00,2017-07-07 01:40:00
13524,B9.2,12665,True,True,-827.3434304758,-126.2171031325,2017-07-07 03:54:00,2017-07-07 04:09:00,2017-07-07 04:03:00
13525,B2.1,12665,True,True,-809.5249593253,-128.3340396568,2017-07-07 07:46:00,2017-07-07 07:53:00,2017-07-07 07:50:00
13526,B2.5,12665,True,True,-825.8972906747,-77.8708862785,2017-07-07 10:40:00,2017-07-07 10:52:00,2017-07-07 10:49:00
13527,B3.6,12665,True,True,-791.3167625098,-97.8477871596,2017-07-07 11:26:00,2017-07-07 11:38:00,2017-07-07 11:33:00
13528,B5.7,12665,True,True,-802.0126074024,-129.3058112971,2017-07-07 12:46:00,2017-07-07 12:58:00,2017-07-07 12:55:00
13530,C1.0,12665,True,True,-816.9612700155,-95.283588081,2017-07-07 13:37:00,2017-07-07 13:53:00,2017-07-07 13:49:00
13531,B8.1,12665,True,True,-788.8913375526,-130.7148573107,2017-07-07 15:07:00,2017-07-07 15:15:00,2017-07-07 15:11:00
13532,B2.1,12665,True,True,-764.1093914674,-133.2209053475,2017-07-07 20:00:00,2017-07-07 20:09:00,2017-07-07 20:04:00
13533,B3.9,12665,True,True,-719.4644820078,-153.4836573098,2017-07-08 05:06:00,2017-07-08 05:11:00,2017-07-08 05:09:00
13535,B5.2,12665,True,True,-711.4837044587,-121.7816444408,2017-07-08 07:57:00,2017-07-08 08:10:00,2017-07-08 08:04:00
13536,B6.5,12665,True,True,-689.548553312,-123.491912578,2017-07-08 10:45:00,2017-07-08 11:19:00,2017-07-08 11:05:00
13537,B5.1,12665,True,True,-677.1160243792,-140.7484571642,2017-07-08 13:46:00,2017-07-08 13:55:00,2017-07-08 13:51:00
13538,B3.4,12665,True,True,-628.7356259499,-160.1504316113,2017-07-08 16:34:00,2017-07-08 17:02:00,2017-07-08 16:41:00
13539,B2.6,12665,True,True,-617.7210547454,-144.6735249334,2017-07-08 18:32:00,2017-07-08 19:13:00,2017-07-08 18:51:00
13540,B6.0,12665,True,True,-617.7222791479,-144.8201966957,2017-07-08 21:18:00,2017-07-08 21:27:00,2017-07-08 21:24:00
13543,B5.8,12665,True,True,-592.607285684,-146.2637777223,2017-07-08 22:23:00,2017-07-08 22:29:00,2017-07-08 22:26:00
13544,B4.5,12665,True,True,-592.6076042554,-146.3037776299,2017-07-08 23:07:00,2017-07-08 23:12:00,2017-07-08 23:10:00
13545,C3.4,12665,True,True,-580.6593884372,-146.9697457456,2017-07-08 23:50:00,2017-07-08 23:57:00,2017-07-08 23:53:00
13546,B6.6,12665,True,True,-568.7088565354,-147.6600801121,2017-07-09 01:20:00,2017-07-09 01:29:00,2017-07-09 01:27:00
13547,B3.4,12665,True,True,-561.0032092109,-148.0994255946,2017-07-09 02:22:00,2017-07-09 02:30:00,2017-07-09 02:27:00
13548,B7.5,12665,True,True,-555.9625432896,-148.3823906028,2017-07-09 03:02:00,2017-07-09 03:08:00,2017-07-09 03:06:00
13550,C1.6,12665,True,True,-537.8972892482,-181.8300082791,2017-07-09 06:15:00,2017-07-09 06:40:00,2017-07-09 06:30:00
13551,C1.2,12665,True,True,-540.2226526623,-149.3814713617,2017-07-09 07:28:00,2017-07-09 07:49:00,2017-07-09 07:33:00
13552,C4.0,12665,True,True,-527.5919472747,-133.7530594644,2017-07-09 08:55:00,2017-07-09 09:17:00,2017-07-09 09:12:00
13553,B9.8,12665,True,True,-513.8837795204,-134.439408863,2017-07-09 10:20:00,2017-07-09 10:49:00,2017-07-09 10:40:00
13554,C5.3,12665,True,True,-513.0154612861,-150.8509054894,2017-07-09 11:44:00,2017-07-09 12:28:00,2017-07-09 12:12:00
